,,,16day_growth_contition_data_1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1 a few fruits_normal color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Apple,Sample1-2,,,,4.52%,45.80%,4.40%,95.60%,51.00%,11.50%,88.50%,97.70%,45.90%,4.49%,95.50%,51.10%,11.30%,88.70%,0.51%,31.60%,0%,100%,26.30%,80.00%,20.00%,0.03%,0%,0%,0%,100%,100%,0%,1.72%,43.80%,0%,100%,54.70%,5.71%,94.30%
sunny,Orange,Sample1-5,,,,12.10%,81.80%,4.31%,95.70%,17.10%,3.46%,96.50%,97.50%,82.00%,4.30%,95.70%,17.00%,3.31%,96.70%,0.37%,61.10%,19.70%,80.30%,14.80%,12.50%,87.50%,0.11%,42.40%,21.40%,78.60%,54.50%,44.40%,55.60%,2.02%,79.60%,1.69%,98.30%,19.90%,2.54%,97.50%
shade,Orange,Sample1-6,,,,10.80%,42.30%,3.69%,96.30%,55.30%,7.27%,92.70%,97.20%,42.80%,3.67%,96.30%,55.00%,6.94%,93.10%,0.73%,27.20%,14.80%,85.20%,41.50%,45.20%,54.80%,0.25%,0%,0%,0%,94.70%,44.40%,55.60%,1.84%,28.70%,0.62%,99.40%,69.70%,5.33%,94.70%
sunny,Pineapple,Sample1-7,,,,12.20%,80.70%,5.16%,94.80%,18.00%,4.19%,95.80%,98.70%,80.90%,5.17%,94.80%,17.90%,4.22%,95.80%,0.34%,49.10%,11.30%,88.70%,22.20%,4.17%,95.80%,0.10%,75.80%,12.00%,88.00%,24.20%,12.50%,87.50%,0.85%,76.10%,1.45%,98.60%,23.90%,0%,100%
shade,Pineapple,Sample1-8,,,,9.70%,43.30%,3.16%,96.80%,54.70%,5.79%,94.20%,98.70%,43.70%,3.15%,96.90%,54.50%,5.78%,94.20%,0.53%,8.99%,12.50%,87.50%,58.40%,11.50%,88.50%,0.18%,0%,0%,0%,100%,10.00%,90.00%,0.59%,26.50%,3.85%,96.20%,73.50%,1.39%,98.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3 many fruits_good color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fine stem,a few insects,many flowers,many fruits_good color,many fruits_good color_normal smell,many fruits_good color_normal smell_especially tasty,many fruits_good color_normal smell_tasty,many fruits_good color_good smell,many fruits_good color_good smell_especially tasty,many fruits_good color_good smell_tasty,"large, light fruits","large, light fruits_normal smell","large, light fruits_normal smell_especially tasty","large, light fruits_normal smell_tasty","large, light fruits_good smell","large, light fruits_good smell_especially tasty","large, light fruits_good smell_tasty","large, heavy fruits","large, heavy fruits_normal smell","large, heavy fruits_normal smell_especially tasty","large, heavy fruits_normal smell_tasty","large, heavy fruits_good smell","large, heavy fruits_good smell_especially tasty","large, heavy fruits_good smell_tasty","small, heavy fruits","small, heavy fruits_normal smell","small, heavy fruits_normal smell_especially tasty","small, heavy fruits_normal smell_tasty","small, heavy fruits_good smell","small, heavy fruits_good smell_especially tasty","small, heavy fruits_good smell_tasty","small, light fruits","small, light fruits_normal smell","small, light fruits_normal smell_especially tasty","small, light fruits_normal smell_tasty","small, light fruits_good smell","small, light fruits_good smell_especially tasty","small, light fruits_good smell_tasty"
